uid,date,titre,type_vote,adopte,dossier_ref,nb_votants,pour,contre,abstention
VTANR5L17V6322,2026-05-05,l'amendement n° 376 de M. Saintoul à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,118,26,92,0
VTANR5L17V6338,2026-05-05,l'amendement n° 375 de M. Favennec-Bécot à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,158,41,67,50
VTANR5L17V6323,2026-05-05,l'amendement n° 377 de M. Saintoul à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,118,58,53,7
VTANR5L17V6325,2026-05-05,l'amendement n° 542 de M. Limongi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,126,51,69,6
VTANR5L17V6329,2026-05-05,l'amendement n° 666 de M. Gonzalez à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,153,54,97,2
VTANR5L17V6337,2026-05-05,l'amendement n° 120 de Mme Martinez à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,165,61,89,15
VTANR5L17V6344,2026-05-05,l'amendement n° 579 (rect.) de M. Tonussi à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,108,53,33,22
VTANR5L17V6334,2026-05-05,l'amendement n° 148 de Mme Lise Magnier à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,adopté,DLR5L17N54083,156,84,59,13
VTANR5L17V6318,2026-05-05,"l'ensemble de la proposition de loi visant à renforcer la sécurité, la rétention administrative et la prévention des risques d'attentat (première lecture).",scrutin public solennel,adopté,DLR5L17N53284,535,345,177,13
VTANR5L17V6336,2026-05-05,l'amendement n° 97 de Mme Martinez à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,162,59,86,17
VTANR5L17V6333,2026-05-05,l'amendement n° 108 de M. Lachaud à l'article premier et rapport annexé du projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,rejeté,DLR5L17N54083,165,35,84,46
